brodie,LEFT,,,,,RIGHT,,,,
,trial 1,,trial 2,,,trial 1,,trial 2,,
m,raw,r,raw,r,avg r,raw,r,raw,r,avg r
0,0.17848,0,0.1806,0,0,0.1784,0,0.18058,0,0
1,0.17936,0.00088,0.18146,0.00086,0.00087,0.17746,0.00094,0.17958,0.001,0.00097
2,0.17954,0.00106,0.18166,0.00106,0.00106,0.17736,0.00104,0.17945,0.00113,0.00109
3,0.17968,0.0012,0.18178,0.00118,0.00119,0.1772,0.0012,0.17942,0.00116,0.00118
4,0.17982,0.00134,0.18192,0.00132,0.00133,0.17704,0.00136,0.17928,0.0013,0.00133
5,0.17994,0.00146,0.182,0.0014,0.00143,0.17696,0.00144,0.17914,0.00144,0.00144
6,0.18,0.00152,0.18214,0.00154,0.00153,0.17688,0.00152,0.17906,0.00152,0.00152
7,0.18012,0.00164,0.18224,0.00164,0.00164,0.17676,0.00164,0.17894,0.00164,0.00164
8,0.18018,0.0017,0.18236,0.00176,0.00173,0.1767,0.0017,0.1788,0.00178,0.00174
9,0.18026,0.00178,0.1824,0.0018,0.00179,0.17662,0.00178,0.17864,0.00194,0.00186
10,0.18034,0.00186,0.18248,0.00188,0.00187,0.1765,0.0019,0.1786,0.00198,0.00194
11,0.18046,0.00198,0.1826,0.002,0.00199,0.17642,0.00198,0.17852,0.00206,0.00202
12,0.1805,0.00202,0.18266,0.00206,0.00204,0.17634,0.00206,0.17844,0.00214,0.0021
13,0.1806,0.00212,0.1827,0.0021,0.00211,0.17622,0.00218,0.17834,0.00224,0.00221
